count,"CountryName","RegionName"
31,"Canada","Ontario"
31,"Jamaica",""
31,"Kazakhstan",""
31,"Paraguay",""
31,"Poland",""
31,"San Marino",""
31,"Switzerland",""
31,"Tunisia",""
31,"United States","Delaware"
31,"United States","Washington DC"
32,"Botswana",""
32,"Malaysia",""
32,"Oman",""
32,"United Kingdom","Northern Ireland"
32,"United States","Massachusetts"
32,"United States","Oklahoma"
32,"United States","Rhode Island"
32,"United States","Utah"
33,"Belgium",""
33,"Brazil","Rio Grande do Sul"
33,"Hong Kong",""
33,"Indonesia",""
33,"Italy",""
33,"Kyrgyz Republic",""
33,"Lebanon",""
33,"Namibia",""
33,"Romania",""
33,"Sudan",""
33,"United Kingdom","England"
33,"United States","Kentucky"
33,"United States","Montana"
33,"United States","Pennsylvania"
34,"Austria",""
34,"Brazil","Mato Grosso do Sul"
34,"Georgia",""
34,"Greece",""
34,"Papua New Guinea",""
34,"United Arab Emirates",""
34,"United Kingdom","Scotland"
34,"United Kingdom","Wales"
34,"United States","Nebraska"
34,"United States","Nevada"
34,"United States","Texas"
34,"United States","West Virginia"
34,"Venezuela",""
35,"Azerbaijan",""
35,"China",""
35,"Latvia",""
35,"Panama",""
35,"United States","Indiana"
35,"United States","Maryland"
36,"Brazil",""
36,"Croatia",""
36,"Luxembourg",""
36,"South Sudan",""
36,"Sri Lanka",""
36,"Suriname",""
36,"United States","Alaska"
36,"United States","South Carolina"
37,"Australia",""
37,"Brazil","Sao Paulo"
37,"Czech Republic",""
37,"Turkey",""
38,"Aruba",""
38,"Cyprus",""
38,"Germany",""
38,"Pakistan",""
39,"Slovak Republic",""
39,"United States","Missouri"
39,"Vietnam",""
40,"South Korea",""
41,"Israel",""
41,"Portugal",""
41,"United Kingdom",""
42,"Bulgaria",""
45,"Brazil","Piaui"
