"CountryName","RegionName","Date","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings"
"Brazil","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Barbados","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Brunei","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Bhutan","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Botswana","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Central African Republic","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Canada","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Switzerland","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Chile","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"China","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Cote d'Ivoire","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Cameroon","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Democratic Republic of Congo","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Congo","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Colombia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Comoros","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Cape Verde","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Costa Rica","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Cuba","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Cyprus","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Czech Republic","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Germany","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Djibouti","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Dominica","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Denmark","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Dominican Republic","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Algeria","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Ecuador","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Egypt","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Eritrea","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Spain","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Estonia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Ethiopia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Finland","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Fiji","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"France","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Faeroe Islands","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Gabon","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United Kingdom","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United Kingdom","England","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United Kingdom","Northern Ireland","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United Kingdom","Scotland","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United Kingdom","Wales","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Georgia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Ghana","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Guinea","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Gambia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Greece","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Greenland","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Guatemala","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Guam","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Guyana","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Hong Kong","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Honduras","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Croatia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Haiti","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Hungary","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Indonesia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"India","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Ireland","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Iran","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Iraq","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Iceland","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Israel","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Italy","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Jamaica","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Jordan","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Japan","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Kazakhstan","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Kenya","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Kyrgyz Republic","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Cambodia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"South Korea","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Kuwait","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Laos","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Lebanon","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Liberia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Libya","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Sri Lanka","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Lesotho","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Lithuania","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Luxembourg","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Latvia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Macao","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Morocco","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Monaco","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Moldova","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Madagascar","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Mexico","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Mali","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Myanmar","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Mongolia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Mozambique","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Mauritania","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Mauritius","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Malawi","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Malaysia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Namibia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Niger","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Nigeria","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Nicaragua","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Netherlands","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Norway","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Nepal","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"New Zealand","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Oman","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Pakistan","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Panama","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Peru","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Philippines","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Papua New Guinea","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Poland","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Puerto Rico","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Portugal","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Paraguay","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Palestine","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Qatar","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Kosovo","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Romania","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Russia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Rwanda","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Saudi Arabia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Sudan","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Senegal","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Singapore","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Solomon Islands","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Sierra Leone","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"El Salvador","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"San Marino","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Somalia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Serbia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"South Sudan","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Suriname","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Slovak Republic","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Slovenia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Sweden","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Eswatini","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Seychelles","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Syria","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Chad","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Togo","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Thailand","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Tajikistan","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Timor-Leste","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Trinidad and Tobago","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Tunisia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Turkey","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Taiwan","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Tanzania","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Uganda","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Ukraine","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Uruguay","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Alaska","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Alabama","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Arkansas","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Arizona","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","California","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Colorado","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Connecticut","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Washington DC","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Delaware","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Florida","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Georgia","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Hawaii","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Iowa","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Idaho","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Illinois","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Indiana","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Kansas","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Kentucky","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Louisiana","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Massachusetts","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Maryland","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Maine","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Michigan","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Minnesota","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Missouri","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Mississippi","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Montana","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","North Carolina","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","North Dakota","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Nebraska","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","New Hampshire","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","New Jersey","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","New Mexico","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Nevada","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","New York","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Ohio","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Oklahoma","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Oregon","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Pennsylvania","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Rhode Island","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","South Carolina","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","South Dakota","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Tennessee","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Texas","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Utah","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Virginia","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Vermont","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Washington","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Wisconsin","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","West Virginia","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United States","Wyoming","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Uzbekistan","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Venezuela","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Vietnam","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Vanuatu","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Yemen","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"South Africa","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Zambia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Zimbabwe","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
