"CountryName","RegionName","Date","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings"
"Central African Republic","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Canada","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Switzerland","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Chile","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"China","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Cote d'Ivoire","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Cameroon","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Democratic Republic of Congo","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Congo","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Colombia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Comoros","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Cape Verde","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Costa Rica","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Cuba","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Cyprus","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Czech Republic","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Germany","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Djibouti","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Dominica","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Denmark","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Dominican Republic","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Algeria","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Ecuador","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Egypt","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Eritrea","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Spain","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Estonia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Ethiopia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Finland","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Fiji","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"France","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Faeroe Islands","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Gabon","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United Kingdom","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United Kingdom","England","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United Kingdom","Northern Ireland","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United Kingdom","Scotland","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United Kingdom","Wales","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Georgia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Ghana","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Guinea","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Gambia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Greece","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Greenland","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Guatemala","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Guam","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Guyana","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Hong Kong","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Honduras","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Croatia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Haiti","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Hungary","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Indonesia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"India","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Ireland","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Iran","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Iraq","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Iceland","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Israel","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Italy","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Jamaica","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Jordan","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Japan","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Kazakhstan","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Kenya","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Kyrgyz Republic","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Cambodia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"South Korea","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Kuwait","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Laos","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Lebanon","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Liberia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Libya","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Sri Lanka","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Lesotho","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Lithuania","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Luxembourg","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Latvia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Macao","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Morocco","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Monaco","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Moldova","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Madagascar","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Mexico","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Mali","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Myanmar","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Mongolia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Mozambique","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Mauritania","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Mauritius","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Malawi","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Malaysia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Namibia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Niger","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Nigeria","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Nicaragua","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Netherlands","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Norway","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Nepal","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"New Zealand","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Oman","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Pakistan","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Panama","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Peru","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Philippines","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Papua New Guinea","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Poland","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Puerto Rico","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Portugal","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Paraguay","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Palestine","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Qatar","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Kosovo","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Romania","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Russia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Rwanda","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Saudi Arabia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Sudan","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Senegal","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Singapore","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Solomon Islands","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Sierra Leone","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"El Salvador","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"San Marino","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Somalia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Serbia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"South Sudan","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Suriname","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Slovak Republic","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Slovenia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Sweden","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Eswatini","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Seychelles","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Syria","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Chad","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Togo","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Thailand","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Tajikistan","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Timor-Leste","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Trinidad and Tobago","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Tunisia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Turkey","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Taiwan","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Tanzania","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Uganda","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Ukraine","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Uruguay","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Alaska","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Alabama","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Arkansas","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Arizona","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","California","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Colorado","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Connecticut","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Washington DC","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Delaware","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Florida","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Georgia","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Hawaii","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Iowa","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Idaho","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Illinois","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Indiana","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Kansas","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Kentucky","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Louisiana","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Massachusetts","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Maryland","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Maine","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Michigan","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Minnesota","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Missouri","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Mississippi","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Montana","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","North Carolina","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","North Dakota","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Nebraska","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","New Hampshire","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","New Jersey","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","New Mexico","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Nevada","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","New York","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Ohio","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Oklahoma","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Oregon","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Pennsylvania","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Rhode Island","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","South Carolina","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","South Dakota","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Tennessee","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Texas","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Utah","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Virginia","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Virgin Islands","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Vermont","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Washington","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Wisconsin","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","West Virginia","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United States","Wyoming","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Uzbekistan","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Venezuela","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Vietnam","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Vanuatu","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Yemen","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"South Africa","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Zambia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Zimbabwe","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
